Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2018-072T02:19:11.5969Z [Mar 13] ( 24.724,  93.489)       3876           375      49     180     6777
2018-072T02:19:11.6004Z [Mar 13] ( 24.954,  93.399)       1528             7       5      50     6777
2018-072T02:19:17.1812Z [Mar 13] ( 24.463,  92.835)        456            36       7      21     6777
2018-072T02:19:23.3459Z [Mar 13] ( 25.176,  92.564)        336            12       2      14     6777
2018-072T02:19:31.0984Z [Mar 13] ( 24.938,  92.860)        395           198       9      24     6777
2018-072T02:19:35.4134Z [Mar 13] ( 24.249,  92.946)        749            50       5      31     6777
2018-072T02:19:35.4561Z [Mar 13] ( 24.241,  92.872)        417           220       3      19     6777
2018-072T02:19:38.7168Z [Mar 13] ( 24.442,  92.826)        142           569       6      11     6777
2018-072T02:19:40.6735Z [Mar 13] ( 25.036,  92.526)        408           510      14      24     6777
2018-072T02:19:45.3563Z [Mar 13] ( 24.317,  92.902)        579           261      11      24     6777
2018-072T02:19:45.3563Z [Mar 13] ( 24.495,  92.487)        145           116       4      11     6777
2018-072T02:19:48.0205Z [Mar 13] ( 24.356,  93.140)         84             1       2       6     6777
2018-072T02:19:56.0559Z [Mar 13] ( 24.292,  92.865)         24             0       1       2     6777
2018-072T02:19:57.2825Z [Mar 13] ( 25.019,  92.758)        544           227      11      36     6777
2018-072T02:20:03.1477Z [Mar 13] ( 24.332,  92.908)        125           141       3       5     6777
